============================================================================================================================================
A股ETF量化交易系统 - 回测交易报告
回测期间: 2020-01-01 至 2021-12-31
总交易数: 315 笔
============================================================================================================================================

交易日期         股票代码       股票名称            买卖类型     价格                     数量            交易金额              收益
--------------------------------------------------------------------------------------------------------------------------------------------
2020-01-01   159919     沪深300ETF        买入       4.9215              17981        88492.63 -
2020-01-01   512100     医药ETF           买入       1.8717              45548        85252.70 -
2020-01-01   515050     5GETF           买入       4.5700              18830        86052.61 -
2020-01-08   159919     沪深300ETF        买入       4.6676                825         3850.77 -
2020-01-08   515050     5GETF           卖出       4.5256                  5           22.63           -0.22
2020-01-08   512100     医药ETF           买入       1.8157               1027         1864.71 -
2020-01-15   159919     沪深300ETF        买入       4.6676                 87          406.09 -
2020-01-15   515050     5GETF           卖出       4.7485                800         3798.79          142.81
2020-01-15   512100     医药ETF           卖出       1.8211                 15           27.32           -0.74
2020-01-22   159919     沪深300ETF        卖出       4.7222                209          986.94          -39.08
2020-01-22   515050     5GETF           买入       4.5619                819         3736.19 -
2020-01-22   512100     医药ETF           卖出       1.9234               2369         4556.65          125.49
2020-01-29   159919     沪深300ETF        卖出       4.8884                421         2058.00           -8.77
2020-01-29   515050     5GETF           卖出       4.6527                185          860.76           15.38
2020-01-29   512100     医药ETF           卖出       2.0780               2802         5822.55          581.47
2020-02-05   159919     沪深300ETF        卖出       5.0362                748         3767.08           95.00
2020-02-05   515050     5GETF           买入       4.3819                954         4180.37 -
2020-02-05   512100     医药ETF           买入       1.8513               4603         8521.58 -
2020-02-12   159919     沪深300ETF        买入       4.9316                253         1247.70 -
2020-02-12   515050     5GETF           买入       3.9090              21798        85208.61 -
2020-02-12   512100     医药ETF           卖出       1.8672                872         1628.23           -1.15
2020-02-19   159919     沪深300ETF        卖出       5.2331               1000         5233.12          323.60
2020-02-19   515050     5GETF           买入       3.8029                685         2604.96 -
2020-02-19   512100     医药ETF           买入       1.8761                 29           54.41 -
2020-02-26   159919     沪深300ETF        买入       4.9302                993         4895.64 -
2020-02-26   515050     5GETF           卖出       3.8574                452         1743.53          -21.88
2020-02-26   512100     医药ETF           卖出       1.8680                 78          145.70           -0.05
2020-03-04   159919     沪深300ETF        卖出       5.2006                998         5190.19          289.34
2020-03-04   515050     5GETF           买入       3.8440                 66          253.70 -
2020-03-04   512100     医药ETF           买入       1.7356              48486        84150.05 -
2020-03-11   159919     沪深300ETF        买入       5.0097                685         3431.64 -
2020-03-11   515050     5GETF           卖出       4.0103                943         3781.72           98.75
2020-03-11   512100     医药ETF           卖出       1.7392                162          281.75            0.59
2020-03-18   159919     沪深300ETF        卖出       5.1669                628         3244.84          158.49
2020-03-18   515050     5GETF           买入       3.9709                170          675.06 -
2020-03-18   512100     医药ETF           买入       1.6245               3316         5386.79 -
2020-03-25   159919     沪深300ETF        卖出       5.7961               1674         9702.60         1475.63
2020-03-25   515050     5GETF           买入       3.8943                640         2492.33 -
2020-03-25   512100     医药ETF           卖出       1.6409                102          167.37           -8.93
2020-04-01   159919     沪深300ETF        卖出       5.7768                 34          196.41           29.32
2020-04-01   515050     5GETF           买入       3.8001                419         1592.26 -
2020-04-01   512100     医药ETF           买入       1.5828              53239        84265.71 -
2020-04-08   159919     沪深300ETF        买入       5.3277               1274         6787.43 -
2020-04-08   515050     5GETF           卖出       3.8251                233          891.26          -18.33
2020-04-08   512100     医药ETF           卖出       1.6644               2807         4671.95          229.08
2020-04-15   159919     沪深300ETF        买入       5.2016                386         2007.81 -
2020-04-15   515050     5GETF           买入       3.7615                404         1519.66 -
2020-04-15   512100     医药ETF           卖出       1.7241               1778         3065.41          251.23
2020-04-22   159919     沪深300ETF        买入       4.8811                986         4812.76 -
2020-04-22   515050     5GETF           买入       3.5542              23715        84288.39 -
2020-04-22   512100     医药ETF           卖出       1.7933               2182         3913.04          459.41
2020-04-29   159919     沪深300ETF        买入       4.8345                306         1479.35 -
2020-04-29   515050     5GETF           卖出       3.6081                224          808.22           12.07
2020-04-29   512100     医药ETF           卖出       1.9408               3206         6222.05         1147.65
2020-05-06   159919     沪深300ETF        买入       4.5358              19207        87119.07 -
2020-05-06   515050     5GETF           买入       3.5978                 57          205.07 -
2020-05-06   512100     医药ETF           卖出       2.0717               2831         5864.85         1384.00
2020-05-13   159919     沪深300ETF        买入       4.5136                218          983.97 -
2020-05-13   515050     5GETF           卖出       3.7204                675         2511.24          112.07
2020-05-13   512100     医药ETF           卖出       2.1646               1489         3223.08          866.32
2020-05-20   159919     沪深300ETF        买入       4.2391               1342         5688.84 -
2020-05-20   515050     5GETF           卖出       3.8746                822         3184.89          263.24
2020-05-20   512100     医药ETF           卖出       2.3131               2354         5445.12         1719.25
2020-05-27   159919     沪深300ETF        买入       3.7178              23544        87530.83 -
2020-05-27   515050     5GETF           买入       3.8039                325         1236.26 -
2020-05-27   512100     医药ETF           买入       2.2920                199          456.11 -
2020-06-03   159919     沪深300ETF        买入       3.6210                569         2060.34 -
2020-06-03   515050     5GETF           买入       3.5645               1444         5147.20 -
2020-06-03   512100     医药ETF           卖出       2.4305               2250         5468.54         1898.65
2020-06-10   159919     沪深300ETF        买入       3.5109                939         3296.78 -
2020-06-10   515050     5GETF           卖出       3.7372                978         3655.01          174.94
2020-06-10   512100     医药ETF           卖出       2.5941               1940         5032.57         1954.53
2020-06-17   159919     沪深300ETF        买入       3.2877              26625        87533.79 -
2020-06-17   515050     5GETF           卖出       3.8292                656         2511.93          177.65
2020-06-17   512100     医药ETF           买入       2.5603                336          860.27 -
2020-06-24   159919     沪深300ETF        卖出       3.4359               1029         3535.53          152.53
2020-06-24   515050     5GETF           卖出       3.9209                375         1470.36          135.97
2020-06-24   512100     医药ETF           买入       2.5756                 23           59.24 -
2020-07-01   159919     沪深300ETF        卖出       3.5807               1097         3928.06          321.50
2020-07-01   515050     5GETF           买入       3.5783               2076         7428.45 -
2020-07-01   512100     医药ETF           卖出       2.6149                640         1673.55          651.32
2020-07-08   159919     沪深300ETF        卖出       3.6351                314         1141.41          109.09
2020-07-08   515050     5GETF           卖出       3.6098                204          736.39           10.13
2020-07-08   512100     医药ETF           买入       2.6161                118          308.70 -
2020-07-15   159919     沪深300ETF        买入       3.6292                 34          123.39 -
2020-07-15   515050     5GETF           卖出       3.8558               1559         6011.14          460.97
2020-07-15   512100     医药ETF           买入       2.3798               3144         7482.02 -
2020-07-22   159919     沪深300ETF        买入       3.6139                362         1308.25 -
2020-07-22   515050     5GETF           卖出       4.3129               2134         9203.82         1606.60
2020-07-22   512100     医药ETF           买入       2.4039                 18           43.27 -
2020-07-29   159919     沪深300ETF        买入       3.5254                550         1938.96 -
2020-07-29   515050     5GETF           卖出       4.3701                314         1372.21          254.35
2020-07-29   512100     医药ETF           买入       2.3584                591         1393.81 -
